;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
413088;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;42 SQUARE BEAUMARCHAIS;R;5,847290e+01;17;48.399316;2.956304;77305_0105_00042;0.8733627272727271
413089;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;6 PLACE DU GENERAL BERTRAND;R;4,045615e+01;19;48.397969;2.958789;77305_0655_00006;0.8662018181818182
413090;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 PLACE DU GENERAL DELORT;R;3,159229e+01;12;48.399214;2.957269;77305_0665_00001;0.8612081818181817
413091;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;48 SQUARE BEAUMARCHAIS;R;8,232138e+01;21;48.399288;2.955506;77305_0105_00048;0.8733627272727271
413092;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 PLACE DU GENERAL BERTRAND;R;3,277355e+01;17;48.397787;2.958208;77305_0655_00002;0.8662018181818182
413093;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;10 PLACE DU GENERAL BERTRAND;R;2,530578e+01;16;48.397721;2.958419;77305_0655_00010;0.8662018181818182
413094;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;45 SQUARE BEAUMARCHAIS;T;4,305187e+01;1;48.399274;2.955924;77305_0105_00045;0.8733627272727271
413095;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 RUE EDMOND ROSTAND;T;6,381034e+01;1;48.39872;2.954938;77305_0475_00001;0.8675090909090908
413096;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;14 RUE FLEUR BEGNE;R;1,542343e+01;10;48.395594;2.955677;77305_0580_00014;0.8716736363636364
413097;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE JULES FERRY;R;3,231131e+01;14;48.395979;2.957913;77305_0825_00012;0.8709354545454545
413098;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE DES CHESNOIS;R;2,155999e+01;10;48.39486;2.956217;77305_0300_00003;0.8742181818181818
413099;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE DES CHESNOIS;R;1,798882e+01;10;48.39545;2.956366;77305_0300_00009;0.8742181818181818
413100;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;7 RUE DU CLOS DION;R;1,512707e+01;10;48.394961;2.954176;77305_0320_00007;0.8697163636363635
413101;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE DU CLOS DION;R;1,720661e+01;10;48.394961;2.954203;77305_0320_00011;0.8697163636363635
413102;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;15 RUE DU CLOS DION;R;1,505691e+01;10;48.394961;2.95423;77305_0320_00015;0.8697163636363635
413103;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE FLEUR BEGNE;R;2,468812e+01;10;48.39489;2.955538;77305_0580_00004;0.8716736363636364
413104;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE DES GRES;R;1,580692e+01;10;48.394754;2.956948;77305_0730_00002;0.8689563636363636
413105;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;3 RUE FLEUR BEGNE;R;2,064519e+01;10;48.395357;2.955281;77305_0580_00003;0.8716736363636364
413106;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;28 RUE FLEUR BEGNE;R;2,548323e+01;10;48.395594;2.955771;77305_0580_00028;0.8716736363636364
413107;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;6 RUE DES GRES;R;2,232375e+01;10;48.394754;2.956948;77305_0730_00006;0.8689563636363636
413108;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 AVENUE MOLIERE;R;2,145368e+02;129;48.397446;2.955611;77305_0953_00001;0.8653727272727272
413109;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;1 RUE DES CHESNOIS;R;1,600129e+01;10;48.39486;2.956204;77305_0300_00001;0.8742181818181818
413110;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;6 RUE FLEUR BEGNE;R;1,890838e+01;10;48.395594;2.955623;77305_0580_00006;0.8716736363636364
413111;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;26 RUE FLEUR BEGNE;R;1,627757e+01;10;48.395594;2.955758;77305_0580_00026;0.8716736363636364
413112;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;17 RUE DES CHESNOIS;R;1,185575e+01;10;48.396643;2.956371;77305_0300_00017;0.8742181818181818
413113;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 AVENUE DE LA LIBERTE;R;1,161206e+02;58;48.399433;2.953018;77305_0875_00008;0.8721072727272726
413114;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;10 RUE DES GRES;R;2,524673e+01;10;48.39481;2.957798;77305_0730_00010;0.8689563636363636
413115;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE DES CHESNOIS;R;1,845940e+01;10;48.395596;2.956288;77305_0300_00011;0.8742181818181818
413116;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;21 RUE DU CLOS DION;R;1,901967e+01;10;48.394961;2.95427;77305_0320_00021;0.8697163636363635
413117;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;14 RUE DES GRES;R;1,782529e+01;10;48.395054;2.958058;77305_0730_00014;0.8689563636363636
413118;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;9 RUE DU CLOS DION;R;1,591463e+01;10;48.394961;2.954189;77305_0320_00009;0.8697163636363635
413119;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;7 RUE DES CHESNOIS;R;1,628220e+01;10;48.395596;2.956275;77305_0300_00007;0.8742181818181818
413120;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;11 RUE ANATOLE FRANCE;R;2,584182e+01;20;48.396071;2.959256;77305_0005_00011;0.8662018181818182
413121;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;5 RUE DES CHESNOIS;R;2,080816e+01;10;48.395596;2.956261;77305_0300_00005;0.8742181818181818
413122;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;2 RUE FLEUR BEGNE;R;1,099776e+01;10;48.39489;2.955524;77305_0580_00002;0.8716736363636364
413123;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;4 RUE DES GRES;R;1,915959e+01;10;48.394754;2.956948;77305_0730_00004;0.8689563636363636
413124;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;13 RUE DU CLOS DION;R;1,412842e+01;10;48.394961;2.954216;77305_0320_00013;0.8697163636363635
413125;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;8 BOULEVARD DIDEROT;R;3,106498e+01;23;48.397896;2.955513;77305_0447_00008;0.8693518181818181
413126;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;12 RUE FLEUR BEGNE;R;1,590386e+01;10;48.395594;2.955663;77305_0580_00012;0.8716736363636364
413127;Enedis;2019;E;773050104;MONTEREAU-FAULT-YONNE;23 RUE DES CHESNOIS;R;2,214434e+01;10;48.396643;2.956412;77305_0300_00023;0.8742181818181818
